username,community,comment_count,like_count,total_mentions
denisarimbi06,0,2,0,2
prabowo,0,0,0,235
enia130901,1,2,2,2
plutonioneon,1,1,29,3
sarden.ina,2,2,1,2
ardii_lukman,2,1,3,3
io9713,2,4,0,2
ikbarsinaga999,3,4,0,2
bang,3,0,0,3
wongtani_padi,4,1,0,2
rahayuindah_,4,2,2,2
eyesmaul,5,1,0,2
diah,5,0,0,2
gibran_rakabuming,5,0,0,5
i.m.reys,5,2,0,2
berkegiatan,6,1,0,2
wirassan,6,1,0,2
syakurhilmy_,2,1,36,4
tempodotco,2,0,0,3
daffi.azhari,0,1,0,2
kemenpar,0,0,0,22
asnia_nanta,0,1,0,2
anti.karisna,0,1,0,2
ervinadifitri,0,1,0,2
revianasta7,0,1,0,2
himawari_hana7,0,1,0,2
dindasafira138,0,1,0,2
zackarckerman,0,1,0,2
miyaaaloiiia,0,1,0,2
ikonarendra,0,1,0,2
laurabbgaadd,0,1,0,2
faiza_azah,0,1,0,2
kun_toarya,0,1,0,2
meisiashh,0,1,0,2
mawaariiuadd,0,1,0,2
mitadewanti5,0,1,0,2
senoa_jj,0,1,0,2
puttinurma,0,1,0,2
kinan.ataya,0,1,0,2
antorubiyanto396,0,1,0,2
ketua_psms,0,1,0,4
bocoraluspolitik,0,0,0,3
presidenrepublikindonesia,0,0,0,24
yuanitagayatri,7,1,0,5
official,7,0,0,15
listyosigitprabowo,8,0,0,14
mohmahfudmd,7,0,0,6
wahyu_rajin_menabung_,10,4,97,3
padli,10,0,0,3
jonijn_,10,2,2,3
baiq._wati,10,2,0,2
bagastia_hekas,10,1,2,3
deddy.gondrong.3910,10,5,0,2
dwanharun,11,4,7,3
alkmardz,11,1,12,2
heri_sukatmii,10,1,0,2
handcraft_bundiy,12,1,0,2
aadamchesar,12,1,0,2
tamy.apreall,0,1,1,2
gerindra,0,0,0,15
meirinashlic,8,2,1,2
nadhisalsaa,13,2,4,3
dr,13,0,0,4
dewan_perwakilan_netizen_ri,5,1,0,4
sekretariat,5,0,0,6
bungfahmiali,5,1,0,5
sonnydharmawan1707,14,3,2,2
heldums,14,1,917,3
donal79,15,3,1,3
imrongiant20,15,1,156,3
muhammadkahfi___,7,1,0,3
fhmilham,7,2,966,3
husnahardiana,16,2,85,3
franzoro26,16,1,0,2
bennydsp,17,1,16,2
puanmaharaniri,17,0,0,2
jessy_humirtap,18,2,2415,4
smindrawati,18,0,0,108
hengkiheng98,18,2,410,3
zulhammuchtar,18,1,0,2
aienditfc,18,1,237,2
jibriaratna,18,1,0,2
ranggaprimadasa,19,2,2,3
dinatauhida,19,1,1,3
yttagusfirmansyah,8,1,1,3
bahlillahadalia,8,0,0,19
natalius_pigai,8,0,0,3
bintorosetya,20,1,0,2
basukibtp,20,0,0,2
rizalbojesz,21,2,2,2
idakristagram,21,1,32,3
slatjenny,18,1,15,2
andriawanarif24,18,4,0,2
